gnmda_ns,angle_deg,trial_seed,firing_rate_hz
0.250000,180,6008,0.666667
0.250000,180,6009,0.666667
0.250000,180,6010,0.666667
0.250000,210,7001,0.666667
0.250000,210,7002,0.666667
0.250000,210,7003,0.666667
0.250000,210,7004,0.666667
0.250000,210,7005,0.666667
0.250000,210,7006,0.666667
0.250000,210,7007,0.666667
0.250000,210,7008,0.666667
0.250000,210,7009,0.666667
0.250000,210,7010,0.666667
0.250000,240,8001,0.666667
0.250000,240,8002,0.666667
0.250000,240,8003,0.666667
0.250000,240,8004,0.666667
0.250000,240,8005,0.666667
0.250000,240,8006,0.666667
0.250000,240,8007,0.666667
0.250000,240,8008,0.666667
0.250000,240,8009,0.666667
0.250000,240,8010,0.666667
0.250000,270,9001,0.666667
0.250000,270,9002,0.666667
0.250000,270,9003,0.666667
0.250000,270,9004,0.666667
0.250000,270,9005,0.666667
0.250000,270,9006,0.666667
0.250000,270,9007,0.666667
0.250000,270,9008,0.666667
0.250000,270,9009,0.666667
0.250000,270,9010,0.666667
0.250000,300,10001,0.666667
0.250000,300,10002,0.666667
0.250000,300,10003,0.666667
0.250000,300,10004,0.666667
0.250000,300,10005,0.666667
0.250000,300,10006,0.666667
0.250000,300,10007,0.666667
0.250000,300,10008,0.666667
0.250000,300,10009,0.666667
0.250000,300,10010,0.666667
0.250000,330,11001,0.666667
0.250000,330,11002,0.666667
0.250000,330,11003,0.666667
0.250000,330,11004,0.666667
0.250000,330,11005,0.666667
0.250000,330,11006,0.666667
0.250000,330,11007,0.666667
0.250000,330,11008,0.666667
0.250000,330,11009,0.666667
0.250000,330,11010,0.666667
0.500000,0,1,1.333333
0.500000,0,2,1.333333
0.500000,0,3,1.333333
0.500000,0,4,1.333333
0.500000,0,5,1.333333
0.500000,0,6,1.333333
0.500000,0,7,1.333333
0.500000,0,8,1.333333
0.500000,0,9,1.333333
0.500000,0,10,1.333333
0.500000,30,1001,1.333333
0.500000,30,1002,1.333333
0.500000,30,1003,1.333333
0.500000,30,1004,1.333333
0.500000,30,1005,1.333333
0.500000,30,1006,1.333333
0.500000,30,1007,1.333333
0.500000,30,1008,1.333333
0.500000,30,1009,1.333333
0.500000,30,1010,1.333333
0.500000,60,2001,1.333333
0.500000,60,2002,1.333333
0.500000,60,2003,1.333333
0.500000,60,2004,1.333333
0.500000,60,2005,1.333333
0.500000,60,2006,1.333333
0.500000,60,2007,1.333333
0.500000,60,2008,1.333333
0.500000,60,2009,1.333333
0.500000,60,2010,1.333333
0.500000,90,3001,0.666667
0.500000,90,3002,0.666667
0.500000,90,3003,0.666667
0.500000,90,3004,0.666667
0.500000,90,3005,0.666667
0.500000,90,3006,0.666667
0.500000,90,3007,0.666667
0.500000,90,3008,0.666667
0.500000,90,3009,0.666667
0.500000,90,3010,0.666667
0.500000,120,4001,0.666667
0.500000,120,4002,0.666667
0.500000,120,4003,0.666667
0.500000,120,4004,0.666667
0.500000,120,4005,0.666667
0.500000,120,4006,0.666667
0.500000,120,4007,0.666667
0.500000,120,4008,0.666667
0.500000,120,4009,0.666667
0.500000,120,4010,0.666667
0.500000,150,5001,0.666667
0.500000,150,5002,0.666667
0.500000,150,5003,0.666667
0.500000,150,5004,0.666667
0.500000,150,5005,0.666667
0.500000,150,5006,0.666667
0.500000,150,5007,0.666667
0.500000,150,5008,0.666667
0.500000,150,5009,0.666667
0.500000,150,5010,0.666667
0.500000,180,6001,0.666667
0.500000,180,6002,0.666667
0.500000,180,6003,0.666667
0.500000,180,6004,0.666667
0.500000,180,6005,0.666667
0.500000,180,6006,0.666667
0.500000,180,6007,0.666667
0.500000,180,6008,0.666667
0.500000,180,6009,0.666667
0.500000,180,6010,0.666667
0.500000,210,7001,0.666667
0.500000,210,7002,0.666667
0.500000,210,7003,0.666667
0.500000,210,7004,0.666667
0.500000,210,7005,0.666667
0.500000,210,7006,0.666667
0.500000,210,7007,0.666667
0.500000,210,7008,0.666667
0.500000,210,7009,0.666667
0.500000,210,7010,0.666667
0.500000,240,8001,0.666667
0.500000,240,8002,0.666667
0.500000,240,8003,0.666667
0.500000,240,8004,0.666667
0.500000,240,8005,0.666667
0.500000,240,8006,0.666667
0.500000,240,8007,0.666667
0.500000,240,8008,0.666667
0.500000,240,8009,0.666667
0.500000,240,8010,0.666667
0.500000,270,9001,0.666667
0.500000,270,9002,0.666667
0.500000,270,9003,0.666667
0.500000,270,9004,0.666667
0.500000,270,9005,0.666667
0.500000,270,9006,0.666667
0.500000,270,9007,0.666667
0.500000,270,9008,0.666667
0.500000,270,9009,0.666667
0.500000,270,9010,0.666667
0.500000,300,10001,0.666667
0.500000,300,10002,0.666667
0.500000,300,10003,0.666667
0.500000,300,10004,0.666667
0.500000,300,10005,0.666667
0.500000,300,10006,0.666667
0.500000,300,10007,0.666667
0.500000,300,10008,0.666667
0.500000,300,10009,0.666667
0.500000,300,10010,0.666667
0.500000,330,11001,1.333333
0.500000,330,11002,1.333333
0.500000,330,11003,1.333333
0.500000,330,11004,1.333333
0.500000,330,11005,1.333333
0.500000,330,11006,1.333333
0.500000,330,11007,1.333333
0.500000,330,11008,1.333333
0.500000,330,11009,1.333333
0.500000,330,11010,1.333333
1.000000,0,1,1.333333
1.000000,0,2,1.333333
1.000000,0,3,1.333333
1.000000,0,4,1.333333
1.000000,0,5,1.333333
1.000000,0,6,1.333333
1.000000,0,7,1.333333
1.000000,0,8,1.333333
1.000000,0,9,1.333333
1.000000,0,10,1.333333
1.000000,30,1001,1.333333
1.000000,30,1002,1.333333
1.000000,30,1003,1.333333
1.000000,30,1004,1.333333
1.000000,30,1005,1.333333
1.000000,30,1006,1.333333
1.000000,30,1007,1.333333
1.000000,30,1008,1.333333
1.000000,30,1009,1.333333
1.000000,30,1010,1.333333
1.000000,60,2001,1.333333
1.000000,60,2002,1.333333
1.000000,60,2003,1.333333
1.000000,60,2004,1.333333
1.000000,60,2005,1.333333
1.000000,60,2006,1.333333
1.000000,60,2007,1.333333
1.000000,60,2008,1.333333
1.000000,60,2009,1.333333
1.000000,60,2010,1.333333
1.000000,90,3001,1.333333
1.000000,90,3002,1.333333
1.000000,90,3003,1.333333
1.000000,90,3004,1.333333
1.000000,90,3005,1.333333
1.000000,90,3006,1.333333
1.000000,90,3007,1.333333
1.000000,90,3008,1.333333
1.000000,90,3009,1.333333
1.000000,90,3010,1.333333
1.000000,120,4001,1.333333
1.000000,120,4002,1.333333
1.000000,120,4003,1.333333
1.000000,120,4004,1.333333
1.000000,120,4005,1.333333
1.000000,120,4006,1.333333
1.000000,120,4007,1.333333
1.000000,120,4008,1.333333
1.000000,120,4009,1.333333
1.000000,120,4010,1.333333
1.000000,150,5001,1.333333
1.000000,150,5002,1.333333
1.000000,150,5003,1.333333
1.000000,150,5004,1.333333
1.000000,150,5005,1.333333
1.000000,150,5006,1.333333
1.000000,150,5007,1.333333
1.000000,150,5008,1.333333
1.000000,150,5009,1.333333
1.000000,150,5010,1.333333
1.000000,180,6001,0.666667
1.000000,180,6002,0.666667
1.000000,180,6003,0.666667
1.000000,180,6004,0.666667
1.000000,180,6005,0.666667
1.000000,180,6006,0.666667
1.000000,180,6007,0.666667
1.000000,180,6008,0.666667
1.000000,180,6009,0.666667
1.000000,180,6010,0.666667
1.000000,210,7001,0.666667
1.000000,210,7002,0.666667
1.000000,210,7003,0.666667
1.000000,210,7004,0.666667
1.000000,210,7005,0.666667
1.000000,210,7006,0.666667
1.000000,210,7007,0.666667
1.000000,210,7008,0.666667
1.000000,210,7009,0.666667
1.000000,210,7010,0.666667
1.000000,240,8001,1.333333
1.000000,240,8002,1.333333
1.000000,240,8003,1.333333
1.000000,240,8004,1.333333
1.000000,240,8005,1.333333
1.000000,240,8006,1.333333
1.000000,240,8007,1.333333
1.000000,240,8008,1.333333
1.000000,240,8009,1.333333
1.000000,240,8010,1.333333
1.000000,270,9001,1.333333
1.000000,270,9002,1.333333
1.000000,270,9003,1.333333
1.000000,270,9004,1.333333
1.000000,270,9005,1.333333
1.000000,270,9006,1.333333
1.000000,270,9007,1.333333
1.000000,270,9008,1.333333
1.000000,270,9009,1.333333
1.000000,270,9010,1.333333
1.000000,300,10001,1.333333
1.000000,300,10002,1.333333
1.000000,300,10003,1.333333
1.000000,300,10004,1.333333
1.000000,300,10005,1.333333
1.000000,300,10006,1.333333
1.000000,300,10007,1.333333
1.000000,300,10008,1.333333
1.000000,300,10009,1.333333
1.000000,300,10010,1.333333
1.000000,330,11001,1.333333
1.000000,330,11002,1.333333
1.000000,330,11003,1.333333
1.000000,330,11004,1.333333
1.000000,330,11005,1.333333
1.000000,330,11006,1.333333
1.000000,330,11007,1.333333
1.000000,330,11008,1.333333
1.000000,330,11009,1.333333
1.000000,330,11010,1.333333
